Time (s),3 - Long,9 - long,2 - long
0,2.66E-15,2.66E-15,2.66E-15
0.001,0.000302076,0.000343959,0.000267218
0.001180433,0.00030904,0.000343814,0.000273313
0.001367376,0.00030903,0.000344438,0.000273322
0.001566275,0.000308122,0.000343838,0.000273958
0.001781915,0.00030905,0.000343852,0.000274283
0.002018729,0.000308142,0.00034418,0.00027461
0.002281029,0.000308446,0.000344197,0.00027494
0.002573182,0.000307851,0.000344215,0.000275273
0.002899759,0.000307854,0.000343924,0.000276209
0.003265661,0.000307559,0.000343948,0.000276862
0.003676226,0.000307263,0.000343975,0.000277507
0.004137335,0.000307266,0.000344018,0.000278769
0.00465552,0.000306356,0.000344352,0.000279112
0.005238061,0.000305758,0.000344078,0.000280386
0.005893108,0.00030607,0.000344435,0.000281053
0.006629795,0.000304868,0.000344485,0.00028264
0.007458374,0.000303949,0.000344242,0.000284233
0.008390363,0.000302735,0.000343696,0.000285505
0.009438707,0.000302111,0.000343772,0.000287407
0.010617958,0.000300581,0.000344484,0.000289005
0.011944478,0.000299023,0.000343667,0.000291525
0.013436673,0.000298425,0.000343768,0.000294065
0.015115239,0.000297205,0.000343264,0.000296925
0.017003454,0.000296295,0.000343079,0.000299481
0.019127505,0.000294778,0.0003423,0.000303294
0.021516841,0.000293553,0.000341521,0.000307422
0.024204584,0.000291683,0.000339821,0.000311542
0.027227994,0.00028827,0.000339085,0.000316913
0.030628976,0.000284511,0.000337849,0.000323817
0.034454659,0.000279511,0.000336613,0.000330755
0.038758054,0.000275097,0.000334776,0.0003387
0.043598775,0.000268492,0.000332635,0.000343719
0.049043875,0.000259608,0.000329593,0.000349444
0.055168752,0.000248157,0.000324312,0.000356847
0.062058203,0.000236662,0.000317292,0.000364063
0.069807582,0.00021913,0.000311987,0.000368038
0.078524105,0.000195318,0.000303181,0.000372023
0.088328347,0.000164489,0.000292634,0.000374318
0.099355839,0.000124564,0.000281689,0.000374943
0.111759,8.57E-05,0.00026817,0.000369575
0.125709131,4.68E-05,0.000249836,0.000361336
0.141398832,1.11E-05,0.000223825,0.000347792
0.159044549,-2.10E-05,0.000188043,0.000329433
0.178889558,-4.71E-05,0.000137165,0.00030992
0.201207235,-5.83E-05,9.42E-05,0.00029827
0.22630474,-3.92E-05,6.29E-05,0.000299775
0.254527122,2.26E-05,5.43E-05,0.000341244
0.286261946,0.00012979,8.69E-05,0.000367024
0.321944535,0.000260784,0.000161037,0.000373849
0.362063527,0.000343904,0.000264466,0.000374636
0.407167494,0.000337938,0.000333328,0.000375592
0.457872003,0.000291898,0.000342775,0.000376248
0.514867723,0.000330806,0.000315529,0.000352032
0.578929007,0.000336116,0.000330291,0.000257516
0.650924087,0.000338785,0.000337894,0.000180556
0.731825829,0.000294951,0.000344401,0.000194517
0.822723687,8.93E-05,0.000290483,0.000348369
0.924837351,-4.16E-05,0.000105961,0.000338565
1.03953087,0.000292965,0.000118747,0.000359642
1.16832948,0.000289097,0.000345603,0.000375485
1.31293631,0.000334941,0.000325313,0.000324444
1.47525203,0.000264928,0.00034314,0.000157619
1.65739584,3.06E-05,0.000173861,0.000371871
1.75027359,0.000313446,0.000262258,0.000351113
1.88640594,0.000300187,0.000333177,0.0003738
2.06183934,0.000340381,0.00029098,0.000148284
2.27474308,-5.36E-06,0.000284581,0.000365396
2.4794209,0.000349182,0.000342105,0.000357883
2.72996521,0.000336657,6.41E-05,0.000348179
3.02567649,-4.63E-05,0.000321662,0.000344576
3.21209979,0.000350992,0.000336018,0.000375713
3.47266746,0.000342268,0.000177312,0.000302345
3.80119634,9.62E-08,0.000314284,0.000373632
3.8727808,0.000264737,6.05E-05,0.000293779
4.06328392,0.00032872,0.000315887,0.000307542
4.35513973,0.000150773,0.000342334,0.00020915
4.73754168,0.000287625,0.000302175,0.000251774
5.20466852,-3.42E-05,0.000165682,0.000262053
5.75441265,0.000258571,0.000329413,0.000310268
6.38747025,0.000329873,0.000332603,0.000296377
7.10668135,0.000325485,0.000269432,0.000344595
7.91655016,0.000219392,7.10E-05,0.000316665
8.82288074,7.79E-05,0.000175752,0.000224574
9.55714321,0.000175427,0.000321207,0.000226592
10.2874403,0.00024657,0.000287772,0.000213008
11.196907,0.000331714,0.000325995,0.000368027
12.2740335,-2.22E-05,0.000331375,0.000369254
13.5131664,0.000311563,0.000311203,0.000306211
14.9127283,0.000319176,0.000343397,0.000239178
16.4738407,-1.91E-06,0.000324633,0.000170458
18.0423756,0.000257371,4.21E-05,0.000330389
19.8067627,0.000334449,4.00E-05,0.000225492
21.7624702,0.000332429,0.000216199,
23,0.000315588,0.000341181,
25.3151932,0.000336059,0.000333128,
27.8022614,-1.80E-05,,
30,0.000261465,,
