Time (s),8 - Short,3 - short,9 - short,2 - short,1 - short
0,2.66E-15,2.66E-15,2.66E-15,2.66E-15,2.66E-15
0.001,8.58E-05,0.000302705,0.000348088,0.000212799,9.20E-05
0.001180433,0.0000815,0.000309901,0.000343751,0.000211626,9.99E-05
0.001367376,8.16E-05,0.0003099,0.000343738,0.000211313,9.99E-05
0.001566275,8.22E-05,0.000310213,0.000343751,0.000211925,9.99E-05
0.001781915,8.15E-05,0.0003099,0.00034435,0.000212225,9.99E-05
0.002018729,8.15E-05,0.0003099,0.00034435,0.000211612,9.99E-05
0.002281029,8.15E-05,0.0003099,0.00034405,0.000211925,9.99E-05
0.002573182,8.15E-05,0.0003099,0.000344349,0.000212224,9.99E-05
0.002899759,8.19E-05,0.0003099,0.000343723,0.000212224,9.96E-05
0.003265661,8.19E-05,0.000310213,0.000343723,0.000211625,9.99E-05
0.003676226,8.16E-05,0.0003099,0.000344348,0.000212224,9.96E-05
0.004137335,8.19E-05,0.0003102,0.000344048,0.000212224,9.99E-05
0.00465552,8.12E-05,0.0003099,0.000343435,0.000212224,9.99E-05
0.005238061,8.19E-05,0.000309588,0.000344034,0.000212224,9.96E-05
0.005893108,8.16E-05,0.000310213,0.000343733,0.000211911,9.99E-05
0.006629795,8.15E-05,0.000310213,0.000343733,0.000211924,0.000100204
0.007458374,8.15E-05,0.000309901,0.000343732,0.000211924,9.99E-05
0.008390363,8.19E-05,0.000309901,0.000344031,0.000211911,9.99E-05
0.009438707,8.16E-05,0.000309901,0.00034403,0.000212223,0.000100205
0.010617958,8.16E-05,0.000310201,0.000344028,0.000212522,9.99E-05
0.011944478,8.09E-05,0.000309901,0.000344027,0.000212222,0.000100206
0.013436673,8.19E-05,0.000310214,0.000343713,0.000212209,9.99E-05
0.015115239,8.16E-05,0.000309902,0.000344024,0.000212222,0.000100194
0.017003454,8.16E-05,0.000310214,0.000343723,0.000212521,0.000100806
0.019127505,8.06E-05,0.000309902,0.00034372,0.000212221,0.000100195
0.021516841,8.13E-05,0.000309902,0.000343419,0.000212507,0.00010112
0.024204584,8.10E-05,0.000309903,0.000344028,0.000212819,0.000101121
0.027227994,8.03E-05,0.000309903,0.0003434,0.000212818,0.000101109
0.030628976,8.06E-05,0.000310216,0.000344022,0.000212818,0.000101423
0.034454659,8.03E-05,0.000309904,0.000343706,0.000213116,0.000101424
0.038758054,8.00E-05,0.000309904,0.000343702,0.000213728,0.000101412
0.043598775,7.97E-05,0.000309905,0.000344009,0.000213727,0.000102026
0.049043875,8.00E-05,0.000309905,0.000343692,0.000213712,0.000102328
0.055168752,8.01E-05,0.000309906,0.000343686,0.000214323,0.000102629
0.062058203,7.88E-05,0.000310219,0.000343679,0.000214621,0.000102944
