Time (s),One second - rearfoot 2
0,2.66E-15
1.00E-04,0.000307569
0.000118043,0.000305189
0.000139343,0.00030519
0.000164485,0.000304905
0.000194163,0.000305206
0.000229197,0.000304895
0.000270552,0.000305209
0.000319369,0.000304899
0.000376994,0.000305501
0.000445017,0.000305504
0.000525313,0.00030612
0.000620097,0.000305512
0.000722474,0.000305816
0.000830448,0.000306133
0.000946795,0.000306438
0.001074039,0.000306132
0.001214592,0.000306438
0.001370865,0.000307357
0.001545353,0.000307065
0.00174071,0.000307361
0.00195981,0.000307984
0.002205813,0.000308594
0.002482214,0.00030922
0.002792907,0.000309222
0.003142247,0.000310151
0.003535107,0.00031047
0.003976962,0.000311091
0.004473955,0.000312315
0.005032993,0.000312943
0.005661837,0.000314188
0.006369217,0.000315125
0.007164949,0.000316667
0.008060073,0.000317918
0.009067008,0.000319792
0.010199722,0.000321975
0.011473924,0.000323854
0.012907287,0.000325734
0.01451969,0.00032702
0.016333493,0.000328283
0.018373843,0.000329839
0.020669034,0.000330497
0.023250883,0.000331453
0.026155181,0.000332099
0.029422185,0.000334006
0.033097167,0.000337131
0.03723105,0.000339665
0.041881114,0.000341878
0.047111761,0.000344117
0.052995436,0.000347296
0.059613597,0.000347946
0.067057855,0.000348941
0.07543122,0.000349608
0.084849522,0.000349978
0.095442988,0.000349736
0.107358053,0.000350133
0.120759323,0.000350641
0.135831833,0.000350411
0.152783573,0.000346295
0.171848312,0.00033907
0.193288743,0.000330645
0.217400044,0.000308542
0.244513854,0.000266402
0.275002658,0.00022401
0.309284836,0.00018075
0.347830117,0.000128843
0.391165882,0.000129154
0.439883977,0.000223382
0.494648367,0.000336323
0.556203842,0.000333173
0.625385463,0.000285551
0.703128934,0.000346731
0.790482581,0.000345104
0.8886199,0.000241697
0.998854041,0.000123025
1,0.000122719
