Time (s),4 - short,2 - short,0 - short,8 - short,1 - short
0,2.66E-15,2.66E-15,2.66E-15,2.66E-15,2.66E-15
0.001,0.000318692,0.000307882,0.000108056,0.000382934,0.000302705
0.001180433,0.000316936,0.000304898,0.000111119,0.000383438,0.000309901
0.001367376,0.000316624,0.000304898,0.000111731,0.000383436,0.0003099
0.001566275,0.000316311,0.000304885,0.000111731,0.000383435,0.000310213
0.001781915,0.000316624,0.000305197,0.000111419,0.000383733,0.0003099
0.002018729,0.000316312,0.000304585,0.000110807,0.000383432,0.0003099
0.002281029,0.000316937,0.000304898,0.00011112,0.00038343,0.0003099
0.002573182,0.000316924,0.000304585,0.00011142,0.000383429,0.0003099
0.002899759,0.000316925,0.000304885,0.00011142,0.000383127,0.0003099
0.003265661,0.000316625,0.000304585,0.000111121,0.000383424,0.000310213
0.003676226,0.000316925,0.000304585,0.000111733,0.000383122,0.0003099
0.004137335,0.000316626,0.000304585,0.000111733,0.000383419,0.0003102
0.00465552,0.000316926,0.000304572,0.000111421,0.000383429,0.0003099
0.005238061,0.00031694,0.000305197,0.000111721,0.000383112,0.000309588
0.005893108,0.00031664,0.000304885,0.000111735,0.000382496,0.000310213
0.006629795,0.00031724,0.000304885,0.000111409,0.000383103,0.000310213
0.007458374,0.000316616,0.000304585,0.000111423,0.000382798,0.000309901
0.008390363,0.000317542,0.000304572,0.000111723,0.000382792,0.000309901
0.009438707,0.000317243,0.000304885,0.000111724,0.000382174,0.000309901
0.010617958,0.000317231,0.000304885,0.000112337,0.000382479,0.000310201
0.011944478,0.000317232,0.000304885,0.000112039,0.000382171,0.000309901
0.013436673,0.000316621,0.000304885,0.00011204,0.000381862,0.000310214
0.015115239,0.000317247,0.000305198,0.000112328,0.000381851,0.000309902
0.017003454,0.000316624,0.000304573,0.000112342,0.000381839,0.000310214
0.019127505,0.00031755,0.000305498,0.000112643,0.000380914,0.000309902
0.021516841,0.000316927,0.000304573,0.000112945,0.000381211,0.000309902
0.024204584,0.000317229,0.000305199,0.000112947,0.000380282,0.000309903
0.027227994,0.000317544,0.000304899,0.000112637,0.000379964,0.000309903
0.030628976,0.000317547,0.000305199,0.000113551,0.000379643,0.000310216
0.034454659,0.000318162,0.000304887,0.000113867,0.00037872,0.000309904
0.038758054,0.000318166,0.0003052,0.000113245,0.000378081,0.000309904
0.043598775,0.000318769,0.000304575,0.000113861,0.000377451,0.000309905
0.049043875,0.000318474,0.000304888,0.000114778,0.000376506,0.000309905
0.055168752,0.000318766,0.000304888,0.000115083,0.000376168,0.000309906
0.062058203,0.000318771,0.000305488,0.000115688,0.000374927,0.000310219
0.069807582,0.000319077,0.000305801,0.000115695,0.00037398,0.00031022
